battery,cycle_number,cycle_type,ambient_temperature,charge_duration,voltage_start,voltage_end,voltage_max,current_start,current_end,current_mean,energy_charged,temp_start,temp_end,temp_rise
B0005,0,charge,24.0,7597.875,3.873017221300996,4.191077562801999,4.2099486995035615,-0.001200660698297908,-0.002892444158252333,0.6434546691871927,3.276267765085886,24.65535783391511,24.507040498124308,-0.14831733579080364
B0005,2,charge,24.0,10516.0,3.3250546568448542,4.189061841085507,4.213016370444398,0.00030204673114322896,-0.00183322363389314,0.9490426727251161,7.638814040426327,29.341850509195503,24.949952033579347,-4.391898475616156
B0005,4,charge,24.0,10484.547,3.3526036599987754,4.187398225806162,4.212788046609961,0.0019896423395958083,0.002276557986264604,0.9505286974657304,7.60857677771719,29.553300732538816,24.977085475273373,-4.576215257265442
B0005,6,charge,24.0,10397.89,3.378798976512954,4.188054956074227,4.212924011950438,-0.0022657924434299355,-0.0008619592833492561,0.9523115206216739,7.578063286209706,29.456340289732644,24.89522226435173,-4.561118025380914
B0005,8,charge,24.0,10495.203,3.372870917439266,4.188438430915413,4.2128738833616,-0.0005034579310428328,0.00039773220670478884,0.9477284862498987,7.565826375757998,29.4813335075363,24.676120049044766,-4.805213458491533
B0005,10,charge,24.0,10792.672,3.366774899409287,4.188694683535447,4.212763963219923,-0.0007553386127022397,-0.004005811494190473,0.9326606943848299,7.5675031826523504,29.39582042914756,24.634213014325965,-4.761607414821594
B0005,12,charge,24.0,10789.985,3.361035656604376,4.188638651396802,4.213176751734383,0.0027654557845526624,0.00037985024501556414,0.9322724824266048,7.560366011430647,29.438424119486054,24.70447199077869,-4.733952128707365
B0005,14,charge,24.0,10127.562,3.3539426477782506,4.1877086746418675,4.212850577044761,-0.0008283773365693883,-0.003278950675561212,0.9653291698755072,7.561766030989396,29.499916243604982,25.015446088155624,-4.484470155449358
B0005,16,charge,24.0,10147.952999999994,3.3865272244675415,4.188512669392655,4.213141772335243,0.0001856156608074978,-0.00015284264715726298,0.9616213808811537,7.51698463400825,29.668813794471543,24.86129216091919,-4.807521633552351
B0005,18,charge,24.0,10162.094,3.3775954668097983,4.188642231288737,4.212949842741421,-0.0033446653226706065,-7.740122851440965e-05,0.9608152867945828,7.519298894187395,29.779288735822295,24.804853897903335,-4.97443483791896
B0005,20,charge,24.0,10119.375,3.3716530712399884,4.188499139829088,4.2132271723869295,-0.0019184886744773953,-0.001161888779248821,0.961954518108792,7.513243951760506,29.71100043300344,24.64105420165238,-5.069946231351061
B0005,22,charge,24.0,10013.235,3.3611695077131323,4.187948562214486,4.212826399381091,-0.001578590927589058,-0.004328229468946464,0.9688176644385617,7.515600107300197,29.79634895864274,24.88434656107144,-4.9120023975713
B0005,23,charge,24.0,9586.875,3.6478422660572436,4.1891081856815315,4.212863906558764,-0.0013496298103834114,0.0018624329125850314,0.948479102987148,7.035236357629061,30.37677905152779,25.004315058030098,-5.372463993497693
B0005,25,charge,24.0,9952.359,3.391880207780119,4.188536856760905,4.212724851227894,0.0020304116740546604,-0.0013188055796641309,0.9671176035785914,7.466245626288071,30.05302011094364,24.96476780558063,-5.088252305363007
B0005,27,charge,24.0,10758.031000000003,3.381025252310999,4.189214138632533,4.213057848582499,0.0006179742705599865,-0.0013382885769707019,0.9281364622466176,7.471400781140605,30.167606387926657,24.556266163925528,-5.611340224001129
B0005,29,charge,24.0,9921.75,3.3752721071922878,4.1881212175517515,4.213191057068328,-0.0018031290433369194,-0.0031421966602155687,0.9687280220511734,7.469516596478565,30.06078601207466,24.730307731531756,-5.330478280542906
B0005,31,charge,24.0,10000.25,3.4107810538617787,4.188565444704925,4.212768567166564,0.0006662852000878709,0.0005959318552191602,0.9622055340791629,7.430452274090743,29.84105303532721,24.562212163248745,-5.278840872078465
B0005,33,charge,24.0,9936.031,3.405082721309114,4.187420919333919,4.21291099996523,-0.008585588437694908,-0.001249166233213313,0.9646896474341132,7.428379263620784,29.90236309006016,24.659771955740442,-5.242591134319717
B0005,35,charge,24.0,9989.532,3.3967166797066484,4.188084604302343,4.213175415157681,-0.0011340247758464517,-0.0037587642409276875,0.962272056961881,7.426504855476649,30.108307461804788,24.601673469934916,-5.506633991869872
