battery,cycle_number,cycle_type,ambient_temperature,discharge_duration,data_points,voltage_start,voltage_end,voltage_min,voltage_max,voltage_mean,voltage_std,current_mean,current_std,current_min,current_max,temp_start,temp_end,temp_mean,temp_max,temp_rise,energy_delivered,capacity_delivered,capacity_delivered_cumulative,soh,capacity_fade,relative_capacity,is_capacity_outlier
B0005,1,discharge,24.0,3690.234,197,4.191491807505295,3.277169976825196,2.612467347907089,4.191491807505295,3.5298286688693397,0.2359570706808563,-1.8187019641679727,0.593546181674474,-2.0180146876333027,0.000728585272845447,24.330033885570543,34.230852841540965,32.572328114029,38.98218133148803,9.900818955970422,6.6087781949284645,1.8564874208181574,1.8564874208181574,100.80760884947753,-0.8076088494775228,1.0080760884947753,False
B0005,3,discharge,24.0,3672.344,196,4.189773213846608,3.3002448871222545,2.587208728940726,4.189773213846608,3.5373201277859714,0.23476492928592219,-1.8175598506612867,0.5951796218062511,-2.016820542901454,0.002927403359080335,24.697751935729325,34.3921365871887,32.72523522519307,39.033397966787035,9.694384651459377,6.586345150397566,1.846327249719927,1.846327249719927,100.25590968770092,-0.25590968770092337,1.0025590968770093,False
B0005,5,discharge,24.0,3651.641,195,4.188186735991303,3.3274510098686276,2.6519168938437794,4.188186735991303,3.5437367282719,0.22752543549673088,-1.8164865418840956,0.5964980204475099,-2.016573862170142,0.0014836763652280672,24.734266163954402,34.23277871576327,32.64286193755933,38.818796689817404,9.498512551808865,6.555683334957384,1.8353491942234077,1.8353491942234077,99.65979925247198,0.34020074752802276,0.9965979925247198,False
B0005,7,discharge,24.0,3631.563,194,4.188461118855572,3.314181858907029,2.592947964776547,4.188461118855572,3.5436661072601456,0.23274431724182537,-1.8255891938692528,0.5834624841611844,-2.0159359571668354,0.001547011952723541,24.65423646922845,34.413449952605504,32.51487646204882,38.7623045063458,9.759213483377053,6.5548286069376,1.8352625275821128,1.8352625275821128,99.65509323788875,0.3449067621112513,0.9965509323788875,False
B0005,9,discharge,24.0,3629.172,194,4.188298524761055,3.30549673128648,2.547419651124539,4.188298524761055,3.5423432526672167,0.2366885716567803,-1.8261139590277586,0.5834685498827803,-2.017425579158831,0.001701454824503414,24.524796959348127,34.34588498997869,32.38234901543077,38.66539257343368,9.821088030630566,6.552231972609875,1.8346455082120419,1.8346455082120419,99.62158897246084,0.3784110275391601,0.9962158897246084,False
B0005,11,discharge,24.0,3652.281,195,4.188815807948604,3.302329112973759,2.5209480504077413,4.188815807948604,3.5413347346347575,0.23931625998293235,-1.8168108743168803,0.5967015706365189,-2.0162347618032066,0.0024899497555445145,24.522297376927863,34.20092692100587,32.43418218230641,38.75169504640032,9.67862954407801,6.557494548054203,1.8356616600675495,1.8356616600675495,99.67676620535399,0.3232337946460117,0.9967676620535398,False
B0005,13,discharge,24.0,3650.828,195,4.18839163793879,3.2937406695499014,2.487927319492314,4.18839163793879,3.5410250495075215,0.2425153341196382,-1.816791144707133,0.5964919190059063,-2.01583310669507,0.002314295882739856,24.58487828579781,34.298284762513184,32.480416444757985,38.8207012322275,9.713406476715374,6.557049661436373,1.8351461429226603,1.8351461429226603,99.64877352944656,0.351226470553444,0.9964877352944655,False
B0005,15,discharge,24.0,3572.453,191,4.188927891511958,3.3162307407741536,2.6652049047458775,4.188927891511958,3.554133296801584,0.22731251096165395,-1.8443412120754061,0.5573831672048897,-2.0166395518034546,0.002227616056915605,24.713628799279793,34.76224183630716,32.41046186109587,38.51713023385634,10.04861303702737,6.535167110927523,1.8257567905665537,1.8257567905665537,99.13892996732471,0.861070032675283,0.9913892996732472,False
B0005,17,discharge,24.0,3550.594,190,4.189029250882121,3.297410935416153,2.6038584726333673,4.189029250882121,3.5529355991467955,0.2324538495076242,-1.853972745505648,0.5424840616663397,-2.018357230695621,0.005401028321021492,24.635211633324694,35.05182952791622,32.3461408313,38.526267904657,10.416617894591525,6.5291073135895505,1.8247738529891333,1.8247738529891333,99.0855562758486,0.9144437241514048,0.990855562758486,False
B0005,19,discharge,24.0,3551.25,190,4.189223427076418,3.2884044830952868,2.552853984885676,4.189223427076418,3.5512057319376997,0.23672870147542147,-1.8535899338510957,0.5423346882876612,-2.0160718378149842,0.0030191479674457028,24.572057664095553,35.02973666184703,32.27679750791685,38.52698128472781,10.45767899775148,6.526577749922872,1.824613268496936,1.824613268496936,99.07683650834832,0.9231634916516758,0.9907683650834832,False
